,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
121,0.958,0.5,0.992012,,8,16,0.001,0.001,0.001,0.1,50,1.0,50,False
122,0.948,0.58,0.9910239999999999,,2,16,0.001,0.001,0.001,0.1,50,1.0,50,False
123,0.946,0.56,0.990244,,6,16,0.001,0.001,0.001,0.1,50,1.0,50,False
124,0.938,0.56,0.9898399999999999,,1,16,0.001,0.001,0.001,0.1,50,1.0,50,False
125,0.95,0.42,0.991364,,10,16,0.001,0.001,0.001,0.1,50,1.0,50,False
126,0.949,0.7,0.990352,,3,16,0.001,0.001,0.001,0.1,50,1.0,50,False
127,0.948,0.36,0.9902960000000001,,9,16,0.001,0.001,0.001,0.1,50,1.0,50,False
128,0.947,0.54,0.9908399999999999,,4,16,0.001,0.001,0.001,0.1,50,1.0,50,False
129,0.942,0.42,0.9896760000000001,,7,16,0.001,0.001,0.001,0.1,50,1.0,50,False
130,0.946,0.96,0.990408,0.9952,8,16,0.001,0.001,0.001,0.0,50,0.5,50,False
131,0.95,0.8,0.9907199999999999,0.936,2,16,0.001,0.001,0.001,0.0,50,0.5,50,False
132,0.946,0.8,0.990776,0.9584,5,16,0.001,0.001,0.001,0.0,50,0.5,50,False
133,0.957,0.94,0.9912000000000001,0.9952000000000001,1,16,0.001,0.001,0.001,0.0,50,0.5,50,False
134,0.935,0.84,0.989968,0.9664,6,16,0.001,0.001,0.001,0.0,50,0.5,50,False
135,0.95,0.88,0.9915719999999999,0.9904,4,16,0.001,0.001,0.001,0.0,50,0.5,50,False
136,0.95,0.76,0.991024,0.9512,10,16,0.001,0.001,0.001,0.0,50,0.5,50,False
137,0.946,0.92,0.990316,0.9696,3,16,0.001,0.001,0.001,0.0,50,0.5,50,False
138,0.955,0.66,0.992472,0.9663999999999999,9,16,0.001,0.001,0.001,0.0,50,0.5,50,False
139,0.943,0.92,0.990952,0.9624,7,16,0.001,0.001,0.001,0.0,50,0.5,50,False
140,0.947,0.96,0.991012,0.9856,4,16,0.001,0.001,0.001,1.0,50,0.5,50,False
141,0.945,0.92,0.989644,0.9808,10,16,0.001,0.001,0.001,1.0,50,0.5,50,False
142,0.953,0.98,0.99036,1.0,9,16,0.001,0.001,0.001,1.0,50,0.5,50,False
143,0.951,0.94,0.990188,0.9872,3,16,0.001,0.001,0.001,1.0,50,0.5,50,False
144,0.948,0.92,0.990456,0.9808,7,16,0.001,0.001,0.001,1.0,50,0.5,50,False
145,0.951,0.98,0.991076,0.9935999999999999,2,16,0.001,0.001,0.001,1.0,50,0.5,50,False
146,0.944,0.54,0.989432,0.8855999999999999,8,16,0.001,0.001,0.001,1.0,50,0.5,50,False
147,0.95,0.94,0.9906079999999999,0.9952,5,16,0.001,0.001,0.001,1.0,50,0.5,50,False
148,0.95,0.98,0.9909840000000001,0.9967999999999999,1,16,0.001,0.001,0.001,1.0,50,0.5,50,False
149,0.944,0.92,0.9903759999999999,0.9935999999999999,6,16,0.001,0.001,0.001,1.0,50,0.5,50,False
150,0.949,0.7142857142857143,0.991356,0.9707207207207208,9,16,0.001,0.001,0.001,1.0,50,0.25,50,False
151,0.937,0.7142857142857143,0.990024,0.9617117117117118,3,16,0.001,0.001,0.001,1.0,50,0.25,50,False
152,0.938,0.7755102040816326,0.989908,0.9954954954954955,10,16,0.001,0.001,0.001,1.0,50,0.25,50,False
153,0.932,0.8163265306122449,0.987008,0.9617117117117117,4,16,0.001,0.001,0.001,1.0,50,0.25,50,False
154,0.939,0.8163265306122449,0.987348,0.9572072072072073,7,16,0.001,0.001,0.001,1.0,50,0.25,50,False
155,0.948,0.7755102040816326,0.990632,0.9234234234234235,5,16,0.001,0.001,0.001,1.0,50,0.25,50,False
156,0.94,0.8163265306122449,0.988748,0.9684684684684685,2,16,0.001,0.001,0.001,1.0,50,0.25,50,False
157,0.945,0.7346938775510204,0.989964,0.963963963963964,8,16,0.001,0.001,0.001,1.0,50,0.25,50,False
158,0.939,0.7551020408163265,0.9869120000000001,0.9954954954954955,6,16,0.001,0.001,0.001,1.0,50,0.25,50,False
159,0.947,0.7346938775510204,0.9911639999999999,0.9774774774774775,1,16,0.001,0.001,0.001,1.0,50,0.25,50,False
160,0.947,0.48,0.989424,,7,16,0.001,0.001,0.001,1.0,50,1.0,50,False
161,0.945,0.46,0.9894879999999999,,4,16,0.001,0.001,0.001,1.0,50,1.0,50,False
162,0.942,0.46,0.990656,,9,16,0.001,0.001,0.001,1.0,50,1.0,50,False
163,0.952,0.58,0.9907839999999999,,3,16,0.001,0.001,0.001,1.0,50,1.0,50,False
164,0.947,0.52,0.9905039999999999,,10,16,0.001,0.001,0.001,1.0,50,1.0,50,False
165,0.944,0.58,0.989548,,1,16,0.001,0.001,0.001,1.0,50,1.0,50,False
166,0.953,0.54,0.9903320000000001,,6,16,0.001,0.001,0.001,1.0,50,1.0,50,False
167,0.951,0.54,0.990888,,2,16,0.001,0.001,0.001,1.0,50,1.0,50,False
168,0.5,1.0,0.9459919999999999,,8,16,0.001,0.001,0.001,1.0,50,1.0,50,False
169,0.953,0.58,0.991308,,5,16,0.001,0.001,0.001,1.0,50,1.0,50,False
170,0.95,0.8,0.990104,1.0,5,16,0.001,0.001,0.001,0.1,50,0.5,50,False
171,0.95,0.96,0.9896240000000001,0.9936,2,16,0.001,0.001,0.001,0.1,50,0.5,50,False
172,0.945,0.98,0.989944,1.0,8,16,0.001,0.001,0.001,0.1,50,0.5,50,False
173,0.947,0.96,0.9906159999999999,0.9823999999999999,6,16,0.001,0.001,0.001,0.1,50,0.5,50,False
174,0.948,0.94,0.9904040000000001,0.984,1,16,0.001,0.001,0.001,0.1,50,0.5,50,False
175,0.957,0.96,0.9918640000000001,1.0,10,16,0.001,0.001,0.001,0.1,50,0.5,50,False
176,0.948,0.98,0.99146,0.9984,9,16,0.001,0.001,0.001,0.1,50,0.5,50,False
177,0.948,0.94,0.991336,0.9936,3,16,0.001,0.001,0.001,0.1,50,0.5,50,False
178,0.943,0.94,0.990928,1.0,4,16,0.001,0.001,0.001,0.1,50,0.5,50,False
179,0.943,0.94,0.98976,0.9792,7,16,0.001,0.001,0.001,0.1,50,0.5,50,False
180,0.949,0.9,0.9913,,7,16,0.001,0.001,0.001,0.0,50,1.0,50,False
181,0.933,0.46,0.990996,,4,16,0.001,0.001,0.001,0.0,50,1.0,50,False
182,0.948,0.64,0.9905240000000001,,10,16,0.001,0.001,0.001,0.0,50,1.0,50,False
183,0.95,0.9,0.991184,,3,16,0.001,0.001,0.001,0.0,50,1.0,50,False
184,0.946,0.92,0.990768,,9,16,0.001,0.001,0.001,0.0,50,1.0,50,False
185,0.946,0.86,0.991644,,1,16,0.001,0.001,0.001,0.0,50,1.0,50,False
186,0.945,0.74,0.9912359999999999,,6,16,0.001,0.001,0.001,0.0,50,1.0,50,False
187,0.956,0.26,0.992052,,8,16,0.001,0.001,0.001,0.0,50,1.0,50,False
188,0.952,0.86,0.991352,,2,16,0.001,0.001,0.001,0.0,50,1.0,50,False
189,0.949,0.86,0.9908239999999999,,5,16,0.001,0.001,0.001,0.0,50,1.0,50,False
190,0.936,0.7959183673469388,0.990024,0.990990990990991,2,16,0.001,0.001,0.001,1.0,50,0.75,50,False
191,0.942,0.7755102040816326,0.988236,0.963963963963964,8,16,0.001,0.001,0.001,1.0,50,0.75,50,False
192,0.945,0.7755102040816326,0.989732,0.9572072072072072,5,16,0.001,0.001,0.001,1.0,50,0.75,50,False
193,0.952,0.7551020408163265,0.990876,0.9527027027027026,1,16,0.001,0.001,0.001,1.0,50,0.75,50,False
194,0.935,0.8571428571428571,0.989552,0.9954954954954955,6,16,0.001,0.001,0.001,1.0,50,0.75,50,False
195,0.954,0.7551020408163265,0.990224,0.9617117117117118,4,16,0.001,0.001,0.001,1.0,50,0.75,50,False
196,0.948,0.7755102040816326,0.989652,0.9819819819819819,10,16,0.001,0.001,0.001,1.0,50,0.75,50,False
197,0.946,0.7959183673469388,0.99058,0.972972972972973,9,16,0.001,0.001,0.001,1.0,50,0.75,50,False
198,0.949,0.7959183673469388,0.989364,0.9617117117117118,3,16,0.001,0.001,0.001,1.0,50,0.75,50,False
199,0.941,0.7551020408163265,0.990776,0.9977477477477478,7,16,0.001,0.001,0.001,1.0,50,0.75,50,False
