,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
155,0.943,0.76,0.990916,,7,16,0.001,0.001,0.001,0.1,50,0.0,50,True
156,0.949,0.7,0.9900199999999999,,4,16,0.001,0.001,0.001,0.1,50,0.0,50,True
157,0.946,0.88,0.9915360000000001,,3,16,0.001,0.001,0.001,0.1,50,0.0,50,True
158,0.958,0.7,0.991944,,9,16,0.001,0.001,0.001,0.1,50,0.0,50,True
159,0.945,0.82,0.990768,,10,16,0.001,0.001,0.001,0.1,50,0.0,50,True
160,0.944,0.94,0.990676,0.992,1,16,0.001,0.001,0.001,0.1,50,0.5,50,True
161,0.943,0.94,0.9904200000000001,0.9808,6,16,0.001,0.001,0.001,0.1,50,0.5,50,True
162,0.948,0.96,0.990168,0.9904000000000001,2,16,0.001,0.001,0.001,0.1,50,0.5,50,True
163,0.941,0.98,0.99014,1.0,8,16,0.001,0.001,0.001,0.1,50,0.5,50,True
164,0.951,0.94,0.991312,0.984,5,16,0.001,0.001,0.001,0.1,50,0.5,50,True
165,0.937,0.94,0.988424,0.992,7,16,0.001,0.001,0.001,0.1,50,0.5,50,True
166,0.949,1.0,0.991284,1.0,4,16,0.001,0.001,0.001,0.1,50,0.5,50,True
167,0.952,0.94,0.9921599999999999,0.9663999999999999,9,16,0.001,0.001,0.001,0.1,50,0.5,50,True
168,0.947,0.9,0.991544,0.9728,3,16,0.001,0.001,0.001,0.1,50,0.5,50,True
169,0.95,0.94,0.990436,1.0,10,16,0.001,0.001,0.001,0.1,50,0.5,50,True
170,0.944,0.8367346938775511,0.990324,0.981981981981982,6,16,0.001,0.001,0.001,1.0,50,0.75,50,True
171,0.947,0.8775510204081632,0.9903160000000001,0.9617117117117118,1,16,0.001,0.001,0.001,1.0,50,0.75,50,True
172,0.955,0.8571428571428571,0.9904080000000001,0.9842342342342343,5,16,0.001,0.001,0.001,1.0,50,0.75,50,True
173,0.94,0.7551020408163265,0.9902,0.900900900900901,8,16,0.001,0.001,0.001,1.0,50,0.75,50,True
174,0.941,0.8367346938775511,0.99148,0.9684684684684685,2,16,0.001,0.001,0.001,1.0,50,0.75,50,True
175,0.945,0.8979591836734694,0.990212,0.9774774774774775,7,16,0.001,0.001,0.001,1.0,50,0.75,50,True
176,0.951,0.8979591836734694,0.990688,0.9954954954954955,10,16,0.001,0.001,0.001,1.0,50,0.75,50,True
177,0.947,0.7959183673469388,0.989892,0.9054054054054055,3,16,0.001,0.001,0.001,1.0,50,0.75,50,True
