sample_accession,run_accession,library_layout,read1,read2,read1_md5,read2_md5
SAMN19922660,SRR15170750,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/050/SRR15170750/SRR15170750_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/050/SRR15170750/SRR15170750_2.fastq.gz,2c732150432b3cec1fafd52fa949c03d,2dbcb1bb09c3ddbed54d867d3575db27
SAMN19922662,SRR15170748,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/048/SRR15170748/SRR15170748_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/048/SRR15170748/SRR15170748_2.fastq.gz,7c6b2905f7d6dfdbaa3947f39a16a24f,6e633084a2469716cc7e8bbd0da3d073
SAMN19922661,SRR15170749,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/049/SRR15170749/SRR15170749_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/049/SRR15170749/SRR15170749_2.fastq.gz,9529a3d41879a2c8fb75b2c9fafa156e,9a728022086db297b3d09639a8c241ec
SAMN19922663,SRR15170746,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/046/SRR15170746/SRR15170746_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/046/SRR15170746/SRR15170746_2.fastq.gz,27218f8a49cdd2e245193fc2588d6c34,08883896fafdadd0d9781eadc9a8dd01
SAMN19922664,SRR15170745,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/045/SRR15170745/SRR15170745_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/045/SRR15170745/SRR15170745_2.fastq.gz,b0b89a952eb93dbfff20640f56d46a81,fd3c1ff588f847a52724d80551a56932
SAMN10734296,SRR15170761,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/061/SRR15170761/SRR15170761_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/061/SRR15170761/SRR15170761_2.fastq.gz,527a9590b518969edb986463a586d891,aacca8169a39ba77cb2cea6374b955bf
SAMN10734296,SRR8435645,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR843/005/SRR8435645/SRR8435645_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR843/005/SRR8435645/SRR8435645_2.fastq.gz,3a73cea5864512e770850724ed3d4478,8dca9c2a4dd5a552bc39db3f57ac14b1
SAMN10734296,SRR8435648,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR843/008/SRR8435648/SRR8435648_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR843/008/SRR8435648/SRR8435648_2.fastq.gz,8c0cc56c117ec5c19046352ccc21bfcd,3df3f9179d7b3026dd328cb8bbb35aa3
SAMN16454151,SRR15170759,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/059/SRR15170759/SRR15170759_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/059/SRR15170759/SRR15170759_2.fastq.gz,e5eb9777b88d92b9e4574a7b17cc0c48,4eb8190c7e26cc564f666a04cc3b68ec
SAMN16454151,SRR12969496,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/096/SRR12969496/SRR12969496_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/096/SRR12969496/SRR12969496_2.fastq.gz,10f7d8e378e24b1cc9e404d685a21d34,2a5ca0e3ba72900b019b4f6704a384c3
SAMN16454143,SRR15170747,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/047/SRR15170747/SRR15170747_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/047/SRR15170747/SRR15170747_2.fastq.gz,e5b05255457e462c238a6f751b7b0ba7,b7a6f460ac4109fa28272113c2201ae2
SAMN16454143,SRR12969486,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/086/SRR12969486/SRR12969486_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/086/SRR12969486/SRR12969486_2.fastq.gz,18ccd4d8046d8ff3b83162f5142e14e4,ab98d8afa0215d213ccdbd29a844112d
SAMN16454145,SRR12969484,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/084/SRR12969484/SRR12969484_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/084/SRR12969484/SRR12969484_2.fastq.gz,2c79f214a0e7804280a1f98a35187bf6,84423e3c8fefeb95f668abb0170db587
SAMN16454145,SRR15170744,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/044/SRR15170744/SRR15170744_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/044/SRR15170744/SRR15170744_2.fastq.gz,a4d89575d84413fa13e9e124f0fb4a61,dd02d2857e9c49a70fd532328a6b812e
SAMN16454146,SRR12969483,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/083/SRR12969483/SRR12969483_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/083/SRR12969483/SRR12969483_2.fastq.gz,c4d96df12e64ed031d011cbef115f1ce,965136c2202173bfd83a877b9dae7e5f
SAMN16454146,SRR15170743,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/043/SRR15170743/SRR15170743_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/043/SRR15170743/SRR15170743_2.fastq.gz,f29af256aa23495cf6fb3a8471506585,d1990cc89bcecb7b00fa7f8f3822f86c
SAMN16454148,SRR12969481,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/081/SRR12969481/SRR12969481_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/081/SRR12969481/SRR12969481_2.fastq.gz,d47e48c52c85de7883d8d08019eed364,70a8843acdbd36e33dd2cfd4e68d0488
SAMN16454148,SRR15170742,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/042/SRR15170742/SRR15170742_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/042/SRR15170742/SRR15170742_2.fastq.gz,28cefdb8ce9ccf0065e9050181e39935,8762c901ad35ba5da30ec145c97b8b74
SAMN16454149,SRR15170741,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/041/SRR15170741/SRR15170741_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/041/SRR15170741/SRR15170741_2.fastq.gz,de0ef4aa08aaf23446b765e82687856e,c6af0a7c302372619319f2378bacce77
SAMN16454149,SRR12969480,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/080/SRR12969480/SRR12969480_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/080/SRR12969480/SRR12969480_2.fastq.gz,daa8cfa7767f62df00afdb4e6e82675c,fea1f42bd7678aa1101dab919600c39a
SAMN16454152,SRR12969495,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/095/SRR12969495/SRR12969495_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR129/095/SRR12969495/SRR12969495_2.fastq.gz,7b9a249d0bda1c80b77d86c1bc269d54,c72bb43aa0ba15625b4dcb2da9c6052b
SAMN16454152,SRR15170740,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/040/SRR15170740/SRR15170740_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/040/SRR15170740/SRR15170740_2.fastq.gz,f17bce2ba7beaaf9c11521de15223f59,73110de0c3a1828683c4dd58edfc1315
SAMN16454153,SRR15170760,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/060/SRR15170760/SRR15170760_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR151/060/SRR15170760/SRR15170760_2.fastq.gz,c5c32496d9f2801d155d708c2aff33fc,52c441585f252da5200c9864b430894a
